         9327113 function calls (9308042 primitive calls) in 6.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      448    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.003    0.003 texmanager.py:1(<module>)
       12    0.000    0.000    0.003    0.000 core.py:1149(parse_string)
        2    0.000    0.000    0.003    0.002 parser.py:1(<module>)
      866    0.002    0.000    0.003    0.000 enum.py:350(__setitem__)
        1    0.000    0.000    0.003    0.003 traceback_util.py:176(reraise_with_filtered_traceback)
        2    0.000    0.000    0.003    0.002 tree.py:1(<module>)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
       68    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
       13    0.000    0.000    0.003    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
     1273    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1496(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
    16730    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      265    0.000    0.000    0.003    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
     7188    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 feedparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 font_manager.py:1570(_load_fontmanager)
        2    0.000    0.000    0.003    0.001 distributed.py:1(<module>)
        2    0.000    0.000    0.003    0.001 traceback.py:249(extract_stack)
        1    0.000    0.000    0.003    0.003 __init__.py:244(_check_versions)
        2    0.000    0.000    0.003    0.001 traceback.py:427(extract)
        2    0.000    0.000    0.003    0.001 traceback.py:449(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.003    0.003 font_manager.py:975(json_load)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
   306/12    0.000    0.000    0.003    0.000 core.py:810(_parseNoCache)
     1384    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
    72/12    0.000    0.000    0.003    0.000 core.py:4127(parseImpl)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
       20    0.001    0.000    0.003    0.000 enum.py:1738(convert_class)
        3    0.000    0.000    0.003    0.001 dtypes.py:1(<module>)
       15    0.000    0.000    0.003    0.000 traceback.py:367(line)
       15    0.000    0.000    0.003    0.000 traceback.py:341(_set_lines)
       13    0.000    0.000    0.003    0.000 linecache.py:21(getline)
       13    0.000    0.000    0.003    0.000 linecache.py:31(getlines)
        7    0.000    0.000    0.003    0.000 linecache.py:80(updatecache)
     1384    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     2924    0.001    0.000    0.003    0.000 typing.py:1368(__setattr__)
       13    0.000    0.000    0.003    0.000 enum.py:887(_convert_)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 types.py:1(<module>)
       10    0.000    0.000    0.002    0.000 util.py:371(_inner)
        3    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
        1    0.000    0.000    0.002    0.002 decoder.py:339(decode)
        1    0.001    0.001    0.002    0.002 decoder.py:350(raw_decode)
     1221    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
       10    0.000    0.000    0.002    0.000 core.py:5780(__init__)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      2/1    0.000    0.000    0.002    0.002 __init__.py:452(get_path)
      2/1    0.000    0.000    0.002    0.002 __init__.py:440(get_paths)
      2/1    0.000    0.000    0.002    0.002 __init__.py:274(_expand_vars)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      170    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 _array_like.py:1(<module>)
     30/9    0.000    0.000    0.002    0.000 core.py:4662(leave_whitespace)
        4    0.000    0.000    0.002    0.001 version.py:1(<module>)
      2/1    0.000    0.000    0.002    0.002 __init__.py:530(get_config_vars)
        1    0.000    0.000    0.002    0.002 __init__.py:460(_init_config_vars)
     8004    0.002    0.000    0.002    0.000 _parser.py:167(__getitem__)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      461    0.000    0.000    0.002    0.000 core.py:523(copy)
        1    0.000    0.000    0.002    0.002 plistlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ufunc_api.py:1(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:99(f)
    16341    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      232    0.001    0.000    0.002    0.000 _compiler.py:509(_compile_info)
      602    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
     1384    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      640    0.001    0.000    0.002    0.000 pjit.py:372(_split_layout_and_sharding)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
        1    0.000    0.000    0.002    0.002 compiler.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
        2    0.000    0.000    0.002    0.001 batching.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
     2679    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
    31999    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.002    0.002 cbook.py:1(<module>)
     1097    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
      461    0.001    0.000    0.002    0.000 copy.py:62(copy)
      295    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     4141    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
        1    0.000    0.000    0.002    0.002 units.py:1(<module>)
       64    0.000    0.000    0.002    0.000 util.py:360(replaced_by_pep8)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 traceback_util.py:110(_is_under_reraiser)
      273    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
     62/9    0.000    0.000    0.002    0.000 core.py:3884(leave_whitespace)
       25    0.000    0.000    0.002    0.000 enum.py:831(_create_)
       22    0.000    0.000    0.002    0.000 core.py:5066(parseImpl)
      712    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      436    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      580    0.001    0.000    0.002    0.000 font_manager.py:934(_json_decode)
   133/64    0.000    0.000    0.002    0.000 core.py:3976(copy)
     5719    0.001    0.000    0.002    0.000 _parser.py:260(get)
        1    0.000    0.000    0.002    0.002 ufunc_api.py:45(ufunc)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
     1094    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       24    0.001    0.000    0.002    0.000 util.py:208(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 _policybase.py:1(<module>)
      640    0.001    0.000    0.002    0.000 api_util.py:188(_validate_argnames)
       43    0.000    0.000    0.002    0.000 typing.py:580(__getitem__)
      140    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      241    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
     4840    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
     1237    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
       32    0.000    0.000    0.002    0.000 colors.py:1049(from_list)
       43    0.000    0.000    0.002    0.000 typing.py:812(Literal)
      746    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
        7    0.000    0.000    0.002    0.000 core.py:2827(__init__)
     1482    0.001    0.000    0.002    0.000 inspect.py:764(unwrap)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
    15603    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 loops.py:1(<module>)
      230    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
      351    0.000    0.000    0.002    0.000 inspect.py:811(_finddoc)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
     2132    0.002    0.000    0.002    0.000 functools.py:66(wraps)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
      602    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
      186    0.000    0.000    0.002    0.000 dataclasses.py:768(_get_field)
    45/12    0.000    0.000    0.002    0.000 typing.py:1452(__getitem__)
    38/18    0.000    0.000    0.002    0.000 core.py:4645(parseImpl)
        1    0.000    0.000    0.002    0.002 path_random.py:1(<module>)
       18    0.000    0.000    0.002    0.000 rcsetup.py:690(cycler)
        1    0.000    0.000    0.002    0.002 colab_debugger.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      320    0.001    0.000    0.002    0.000 <string>:34(__hash__)
      286    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     1237    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
    11091    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        5    0.000    0.000    0.001    0.000 tokenize.py:443(open)
        1    0.000    0.000    0.001    0.001 header.py:1(<module>)
    26/14    0.000    0.000    0.001    0.000 core.py:4375(parseImpl)
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
      547    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1229(path_stats)
      640    0.001    0.000    0.001    0.000 sharding_impls.py:1114(prepare_axis_resources)
      531    0.001    0.000    0.001    0.000 enum.py:1048(_add_member_)
 1696/191    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
